 TIME                    	Power                    	Power                    	
  +1.2699999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2750000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2800000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2850000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2900000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.2949999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3000000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3050000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3100000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3150000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3199999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3250000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3300000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3350000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3400000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3449999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3500000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3550000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3600000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3650000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3699999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3750000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3800000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3850000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3900000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.3949999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4000000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4050000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4100000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4150000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4199999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4250000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4300000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4350000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4400000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4449999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4500000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4550000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4600000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4650000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4699999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4750000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4800000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4850000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4900000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.4949999999999999E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5000000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5050000000000001E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
  +1.5100000000000000E+01	  +3.0000000000000000E+01	  +1.0000000000000000E+02	
